Commodity,flow,series_id
32616 Plastics Bottles,import,674
326160 Plastics Bottles,export,675
326160 Plastics Bottles,import,676
32619 Other Plastics Products,export,677
32619 Other Plastics Products,import,678
326191 Plastics Plumbing Fixtures,export,679
326191 Plastics Plumbing Fixtures,import,680
326199 All Other Plastics Products,export,681
326199 All Other Plastics Products,import,682
3262 Rubber Products,export,683
3262 Rubber Products,import,684
32621 Tires,export,685
32621 Tires,import,686
326211 Tires And Tire Parts (except Retreadings),export,687
326211 Tires And Tire Parts (except Retreadings),import,688
326212 Tire Retreadings,export,689
326212 Tire Retreadings,import,690
32622 Rubber & Plastics Hoses & Belting,export,691
32622 Rubber & Plastics Hoses & Belting,import,692
326220 Rubber & Plastics Hoses & Belting,export,693
326220 Rubber & Plastics Hoses & Belting,import,694
32629 Other Rubber Products,export,695
32629 Other Rubber Products,import,696
326291 Rubber Products For Mechanical Use,export,697
326291 Rubber Products For Mechanical Use,import,698
326299 Other Rubber Products,export,699
326299 Other Rubber Products,import,700
327 Nonmetallic Mineral Products,export,701
327 Nonmetallic Mineral Products,import,702
3271 Clay & Refractory Products,export,703
3271 Clay & Refractory Products,import,704
"32711 Pottery, Ceramics & Plumbing Fixtures",export,705
"32711 Pottery, Ceramics & Plumbing Fixtures",import,706
"327110 Pottery, Ceramics, And Plumbing Fixtures",export,707
"327110 Pottery, Ceramics, And Plumbing Fixtures",import,708
32712 Clay & Refractory Building Materials,export,709
32712 Clay & Refractory Building Materials,import,710
327120 Clay Building Materials And Refractories,export,711
327120 Clay Building Materials And Refractories,import,712
